MAC,HOSTNAME,DESCRIPTION,SSID,NASID
000f92023C32,Wifi-00001,3337200001,fraserwaywifi0001,ColonyNetworks_105.1.1
000F92023AF5,Wifi-00002,3337200002,fraserwaywifi0002,ColonyNetworks_105.1.2
000F92023AEA,Wifi-00003,3337200003,fraserwaywifi0003,ColonyNetworks_105.1.3
000F92033C15,Wifi-00004,3337200004,fraserwaywifi0004,ColonyNetworks_105.1.4
000F92023ADD,Wifi-00005,3337200005,fraserwaywifi0005,ColonyNetworks_105.1.5
000F92023C44,Wifi-00006,3337200006,fraserwaywifi0006,ColonyNetworks_105.1.6
000F92023C6F,Wifi-00007,3337200007,fraserwaywifi0007,ColonyNetworks_105.1.7
000F92023C4C,Wifi-00008,3337200008,fraserwaywifi0008,ColonyNetworks_105.1.8
000F92023AE7,Wifi-00009,3337200009,fraserwaywifi0009,ColonyNetworks_105.1.9
000F92023AE2,Wifi-00010,3337200010,fraserwaywifi0010,ColonyNetworks_105.1.10
000F92023AA8,Wifi-00011,3337200011,fraserwaywifi0011,ColonyNetworks_105.1.11
000F92023C36,Wifi-00012,3337200012,fraserwaywifi0012,ColonyNetworks_105.1.12
000F92023A93,Wifi-00013,3337200013,fraserwaywifi0013,ColonyNetworks_105.1.13
000F92023C7F,Wifi-00014,3337200014,fraserwaywifi0014,ColonyNetworks_105.1.14
000F92023C62,Wifi-00015,3337200015,fraserwaywifi0015,ColonyNetworks_105.1.15
000F92023A8E,Wifi-00016,3337200016,fraserwaywifi0016,ColonyNetworks_105.1.16
000F92023AEC,Wifi-00017,3337200017,fraserwaywifi0017,ColonyNetworks_105.1.17
000F92023AAB,Wifi-00018,3337200018,fraserwaywifi0018,ColonyNetworks_105.1.18
000F920239BE,Wifi-00019,3337200019,fraserwaywifi0019,ColonyNetworks_105.1.19
000F92023C16,Wifi-00020,3337200020,fraserwaywifi0020,ColonyNetworks_105.1.20
000F92023C41,Wifi-00021,3337200021,fraserwaywifi0021,ColonyNetworks_105.1.21
000F92023A97,Wifi-00022,3337200022,fraserwaywifi0022,ColonyNetworks_105.1.22
000F92023AEE,Wifi-00023,3337200023,fraserwaywifi0023,ColonyNetworks_105.1.23
000F92023C52,Wifi-00024,3337200024,fraserwaywifi0024,ColonyNetworks_105.1.24
000F92023CCC,Wifi-00025,3337200025,fraserwaywifi0025,ColonyNetworks_105.1.25
000F92023C48,Wifi-00026,3337200026,fraserwaywifi0026,ColonyNetworks_105.1.26
000F92023C23,Wifi-00027,3337200027,fraserwaywifi0027,ColonyNetworks_105.1.27
000F92023C1A,Wifi-00028,3337200028,fraserwaywifi0028,ColonyNetworks_105.1.28
000F92023AD0,Wifi-00029,3337200029,fraserwaywifi0029,ColonyNetworks_105.1.29
000F92023A9E,Wifi-00030,3337200030,fraserwaywifi0030,ColonyNetworks_105.1.30
000F9202399C,Wifi-00031,3337200031,fraserwaywifi0031,ColonyNetworks_105.1.31
000F92023C3E,Wifi-00032,3337200032,fraserwaywifi0032,ColonyNetworks_105.1.32
000F92023A9C,Wifi-00033,3337200033,fraserwaywifi0033,ColonyNetworks_105.1.33
000F92023C61,Wifi-00034,3337200034,fraserwaywifi0034,ColonyNetworks_105.1.34
000F92023A85,Wifi-00035,3337200035,fraserwaywifi0035,ColonyNetworks_105.1.35
000F92023AF2,Wifi-00036,3337200036,fraserwaywifi0036,ColonyNetworks_105.1.36
000F92023AD3,Wifi-00037,3337200037,fraserwaywifi0037,ColonyNetworks_105.1.37
000F92023AC9,Wifi-00038,3337200038,fraserwaywifi0038,ColonyNetworks_105.1.38
000F92023AF1,Wifi-00039,3337200039,fraserwaywifi0039,ColonyNetworks_105.1.39
000F92023A28,Wifi-00040,3337200040,fraserwaywifi0040,ColonyNetworks_105.1.40
000F92023C64,Wifi-00041,3337200041,fraserwaywifi0041,ColonyNetworks_105.1.41
000F92023AE0,Wifi-00042,3337200042,fraserwaywifi0042,ColonyNetworks_105.1.42
000F92023C60,Wifi-00043,3337200043,fraserwaywifi0043,ColonyNetworks_105.1.43
000F92023A95,Wifi-00044,3337200044,fraserwaywifi0044,ColonyNetworks_105.1.44
000F92023A99,Wifi-00045,3337200045,fraserwaywifi0045,ColonyNetworks_105.1.45
000F92023BDA,Wifi-00046,3337200046,fraserwaywifi0046,ColonyNetworks_105.1.46
000F92023C56,Wifi-00047,3337200047,fraserwaywifi0047,ColonyNetworks_105.1.47
000F92023AA1,Wifi-00048,3337200048,fraserwaywifi0048,ColonyNetworks_105.1.48
000F92023C4F,Wifi-00049,3337200049,fraserwaywifi0049,ColonyNetworks_105.1.49
000F92023C63,Wifi-00050,3337200050,fraserwaywifi0050,ColonyNetworks_105.1.50
000F92023C5A,Wifi-00051,3337200051,fraserwaywifi0051,ColonyNetworks_105.1.51
000F92023B21,Wifi-00052,3337200052,fraserwaywifi0052,ColonyNetworks_105.1.52
000F92023C4E,Wifi-00053,3337200053,fraserwaywifi0053,ColonyNetworks_105.1.53
000F92023C49,Wifi-00054,3337200054,fraserwaywifi0054,ColonyNetworks_105.1.54
000F92023AA0,Wifi-00055,3337200055,fraserwaywifi0055,ColonyNetworks_105.1.55
000F920239C7,Wifi-00056,3337200056,fraserwaywifi0056,ColonyNetworks_105.1.56
000F92023A8C,Wifi-00057,3337200057,fraserwaywifi0057,ColonyNetworks_105.1.57
000F92023AF0,Wifi-00058,3337200058,fraserwaywifi0058,ColonyNetworks_105.1.58
000F92023C43,Wifi-00059,3337200059,fraserwaywifi0059,ColonyNetworks_105.1.59
000F92023AF3,Wifi-00060,3337200060,fraserwaywifi0060,ColonyNetworks_105.1.60
000F92023AE6,Wifi-00061,3337200061,fraserwaywifi0061,ColonyNetworks_105.1.61
000F92023C50,Wifi-00062,3337200062,fraserwaywifi0062,ColonyNetworks_105.1.62
000F92023AEF,Wifi-00063,3337200063,fraserwaywifi0063,ColonyNetworks_105.1.63
000F92023AF4,Wifi-00064,3337200064,fraserwaywifi0064,ColonyNetworks_105.1.64
000F92023A98,Wifi-00065,3337200065,fraserwaywifi0065,ColonyNetworks_105.1.65
000F92023C37,Wifi-00066,3337200066,fraserwaywifi0066,ColonyNetworks_105.1.66
000F92023D24,Wifi-00067,3337200067,fraserwaywifi0067,ColonyNetworks_105.1.67
000F92023BAF,Wifi-00068,3337200068,fraserwaywifi0068,ColonyNetworks_105.1.68
000F92023CEA,Wifi-00069,3337200069,fraserwaywifi0069,ColonyNetworks_105.1.69
000F92023C68,Wifi-00070,3337200070,fraserwaywifi0070,ColonyNetworks_105.1.70
000F92023A9B,Wifi-00071,3337200071,fraserwaywifi0071,ColonyNetworks_105.1.71
000F92023C51,Wifi-00072,3337200072,fraserwaywifi0072,ColonyNetworks_105.1.72
000F92023AB1,Wifi-00073,3337200073,fraserwaywifi0073,ColonyNetworks_105.1.73
000F92023C2A,Wifi-00074,3337200074,fraserwaywifi0074,ColonyNetworks_105.1.74
000F92023B00,Wifi-00075,3337200075,fraserwaywifi0075,ColonyNetworks_105.1.75
000F92023C3A,Wifi-00076,3337200076,fraserwaywifi0076,ColonyNetworks_105.1.76
000F92023AE5,Wifi-00077,3337200077,fraserwaywifi0077,ColonyNetworks_105.1.77
000F92023C29,Wifi-00078,3337200078,fraserwaywifi0078,ColonyNetworks_105.1.78
000F92023A70,Wifi-00079,3337200079,fraserwaywifi0079,ColonyNetworks_105.1.79
000F920239AE,Wifi-00080,3337200080,fraserwaywifi0080,ColonyNetworks_105.1.80
000F92023C21,Wifi-00081,3337200081,fraserwaywifi0081,ColonyNetworks_105.1.81
000F92023AA6,Wifi-00082,3337200082,fraserwaywifi0082,ColonyNetworks_105.1.82
000F92023AE8,Wifi-00083,3337200083,fraserwaywifi0083,ColonyNetworks_105.1.83
000F92023C40,Wifi-00084,3337200084,fraserwaywifi0084,ColonyNetworks_105.1.84
000F92023C4D,Wifi-00085,3337200085,fraserwaywifi0085,ColonyNetworks_105.1.85
000F92023AE3,Wifi-00086,3337200086,fraserwaywifi0086,ColonyNetworks_105.1.86
000F92023A9F,Wifi-00087,3337200087,fraserwaywifi0087,ColonyNetworks_105.1.87
000F92023C45,Wifi-00088,3337200088,fraserwaywifi0088,ColonyNetworks_105.1.88
000F92023C3B,Wifi-00089,3337200089,fraserwaywifi0089,ColonyNetworks_105.1.89
000F92023AD2,Wifi-00090,3337200090,fraserwaywifi0090,ColonyNetworks_105.1.90
000F92023AD9,Wifi-00091,3337200091,fraserwaywifi0091,ColonyNetworks_105.1.91
000F92023C35,Wifi-00092,3337200092,fraserwaywifi0092,ColonyNetworks_105.1.92
000F92023AEB,Wifi-00093,3337200093,fraserwaywifi0093,ColonyNetworks_105.1.93
000F92023A9D,Wifi-00094,3337200094,fraserwaywifi0094,ColonyNetworks_105.1.94
000F92023C70,Wifi-00095,3337200095,fraserwaywifi0095,ColonyNetworks_105.1.95
000F92023C7D,Wifi-00096,3337200096,fraserwaywifi0096,ColonyNetworks_105.1.96
000F92023A1F,Wifi-00097,3337200097,fraserwaywifi0097,ColonyNetworks_105.1.97
000F92023AE4,Wifi-00098,3337200098,fraserwaywifi0098,ColonyNetworks_105.1.98
000F92023C30,Wifi-00099,3337200099,fraserwaywifi0099,ColonyNetworks_105.1.99
000F92023C14,Wifi-00100,3337200100,fraserwaywifi0100,ColonyNetworks_105.1.100
